Alimentador,LLL,LLT,LL,LT,Enlace a maps
COV01,1873,1855,1622,1328,"https://maps.google.com/?q=-25.5517196605,-56.464658213"
COV01,1871,1853,1621,1327,"https://maps.google.com/?q=-25.551833389,-56.4646631494"
COV01,1805,1788,1563,1277,"https://maps.google.com/?q=-25.5553758314,-56.4646365571"
COV01,,,,1270,"https://maps.google.com/?q=-25.5553600346,-56.4641704414"
COV01,1796,1779,1555,1270,"https://maps.google.com/?q=-25.5558884979,-56.4645850349"
COV01,1730,1714,1498,1221,"https://maps.google.com/?q=-25.5597238142,-56.4639616667"
COV01,1726,1710,1494,1218,"https://maps.google.com/?q=-25.5599777701,-56.4639230644"
COV01,1605,1592,1390,1129,"https://maps.google.com/?q=-25.5661191303,-56.4586253636"
COV01,1598,1586,1384,1125,"https://maps.google.com/?q=-25.5663189176,-56.4588632579"
COV01,1544,1533,1337,1084,"https://maps.google.com/?q=-25.5696631738,-56.455833339"
COV01,1502,1491,1300,1053,"https://maps.google.com/?q=-25.5729366502,-56.4564386602"
COV01,1356,1356,1175,966,"https://maps.google.com/?q=-25.5708867418,-56.4646046308"
COV01,1470,1460,1273,1030,"https://maps.google.com/?q=-25.575450955,-56.4571028249"
COV01,1441,1431,1248,1009,"https://maps.google.com/?q=-25.5777925577,-56.4580279608"
COV01,1414,1407,1225,993,"https://maps.google.com/?q=-25.5783353803,-56.4566034893"
COV01,1392,1386,1206,980,"https://maps.google.com/?q=-25.5788013108,-56.4553628983"
COV01,1319,1317,1142,936,"https://maps.google.com/?q=-25.5827638621,-56.4572452394"
COV01,1313,1312,1137,932,"https://maps.google.com/?q=-25.5830815977,-56.4573910406"
COV01,1281,1282,1110,913,"https://maps.google.com/?q=-25.5836720253,-56.4548539133"
COV01,1382,1377,1197,974,"https://maps.google.com/?q=-25.5790230066,-56.4548071288"
COV01,1337,1334,1158,947,"https://maps.google.com/?q=-25.5800466566,-56.452113764"
COV01,1320,1319,1143,937,"https://maps.google.com/?q=-25.5805924272,-56.4511734367"
COV01,1252,1254,1084,895,"https://maps.google.com/?q=-25.5830234385,-56.4471078298"
COV01,1225,1229,1061,879,"https://maps.google.com/?q=-25.584121033,-56.445451805"
COV01,1205,1210,1043,866,"https://maps.google.com/?q=-25.5849225329,-56.4440996869"
COV01,1186,1192,1027,855,"https://maps.google.com/?q=-25.5856707499,-56.442841294"
COV01,1126,1134,975,824,"https://maps.google.com/?q=-25.58633581,-56.438696957"
COV01,1017,1029,881,767,"https://maps.google.com/?q=-25.5877427445,-56.4300064698"
COV01,920,933,797,712,"https://maps.google.com/?q=-25.5890204741,-56.4204231817"
COV01,846,860,732,667,"https://maps.google.com/?q=-25.5942135768,-56.4135731488"
COV01,,,,607,"https://maps.google.com/?q=-25.5868400573,-56.3975509976"
COV01,,,,566,"https://maps.google.com/?q=-25.5832861005,-56.3926121293"
COV01,,,,723,"https://maps.google.com/?q=-25.5942645802,-56.4322348472"
COV01,,,,811,"https://maps.google.com/?q=-25.5846364412,-56.4384526564"
COV01,1180,1187,1022,851,"https://maps.google.com/?q=-25.5862753288,-56.44315849"
COV01,,,,835,"https://maps.google.com/?q=-25.5872053811,-56.4497792335"
COV01,,,,831,"https://maps.google.com/?q=-25.5870622882,-56.4503104145"
COV01,,,,831,"https://maps.google.com/?q=-25.5869825671,-56.4502834669"
COV01,,,,835,"https://maps.google.com/?q=-25.5778094701,-56.4418230281"
COV01,,,,915,"https://maps.google.com/?q=-25.5803172807,-56.4496633311"
COV01,,,,940,"https://maps.google.com/?q=-25.5806865937,-56.4523932648"
COV01,1362,1358,1179,962,"https://maps.google.com/?q=-25.5756250694,-56.4553362776"
COV01,,,,900,"https://maps.google.com/?q=-25.5771091784,-56.4493314703"
COV01,1434,1424,1241,1003,"https://maps.google.com/?q=-25.5783802206,-56.4583065548"
COV01,1422,1412,1231,994,"https://maps.google.com/?q=-25.5793565531,-56.458781701"
COV01,1367,1359,1184,955,"https://maps.google.com/?q=-25.5840159991,-56.4610307633"
COV01,1327,1319,1149,926,"https://maps.google.com/?q=-25.58769073,-56.4627728325"
COV01,1313,1306,1137,916,"https://maps.google.com/?q=-25.58897622,-56.4633756037"
COV01,1254,1247,1086,873,"https://maps.google.com/?q=-25.5949919256,-56.4662123317"
COV01,,,,768,"https://maps.google.com/?q=-25.5888053257,-56.4793380714"
COV01,,,,697,"https://maps.google.com/?q=-25.5845224157,-56.4911650737"
COV01,,,,657,"https://maps.google.com/?q=-25.5856160643,-56.4994281716"
COV01,,,,587,"https://maps.google.com/?q=-25.5852453981,-56.5167984394"
COV01,,,,586,"https://maps.google.com/?q=-25.5853761339,-56.5168875488"
COV01,,,,559,"https://maps.google.com/?q=-25.5846818719,-56.5217160921"
COV01,,,,457,"https://maps.google.com/?q=-25.6178760578,-56.5315432216"
COV01,,,,615,"https://maps.google.com/?q=-25.5801473675,-56.4975058475"
COV01,,,,686,"https://maps.google.com/?q=-25.5826220616,-56.4906627516"
COV01,,,,756,"https://maps.google.com/?q=-25.589966075,-56.4796337319"
COV01,1240,1234,1074,863,"https://maps.google.com/?q=-25.5964192686,-56.4669215728"
COV01,1215,1210,1052,849,"https://maps.google.com/?q=-25.5966059167,-56.4689037147"
COV01,1194,1189,1034,830,"https://maps.google.com/?q=-25.6015368948,-56.4693757964"
COV01,1137,1136,985,797,"https://maps.google.com/?q=-25.6031168668,-56.4647572722"
COV01,715,730,619,534,"https://maps.google.com/?q=-25.6156550012,-56.4064745445"
COV01,1036,1032,897,717,"https://maps.google.com/?q=-25.6227028941,-56.4795598536"
COV01,1030,1027,892,713,"https://maps.google.com/?q=-25.6236172977,-56.479981237"
COV01,979,976,848,677,"https://maps.google.com/?q=-25.6320035279,-56.482599063"
COV01,,,,658,"https://maps.google.com/?q=-25.6310130188,-56.4865765533"
COV01,974,971,843,673,"https://maps.google.com/?q=-25.632917456,-56.4829449477"
COV01,970,968,840,671,"https://maps.google.com/?q=-25.6335652675,-56.4831212978"
COV01,970,967,840,671,"https://maps.google.com/?q=-25.6335841997,-56.4830588231"
COV01,969,966,839,670,"https://maps.google.com/?q=-25.6338885962,-56.4831351205"
COV01,967,964,837,668,"https://maps.google.com/?q=-25.6342230667,-56.4829540406"
COV01,959,956,830,663,"https://maps.google.com/?q=-25.6357303003,-56.4824681754"
COV01,958,956,830,662,"https://maps.google.com/?q=-25.6358242704,-56.4824377045"
COV01,957,955,829,662,"https://maps.google.com/?q=-25.635767949,-56.4823025308"
COV01,955,952,827,660,"https://maps.google.com/?q=-25.6364227961,-56.482244744"
COV01,955,952,827,660,"https://maps.google.com/?q=-25.6364924618,-56.4822222842"
COV01,949,947,822,656,"https://maps.google.com/?q=-25.6375298573,-56.4818580235"
COV01,940,937,814,649,"https://maps.google.com/?q=-25.6390650345,-56.4820136619"
COV01,952,949,824,658,"https://maps.google.com/?q=-25.6365714045,-56.4825737875"
COV01,973,971,843,673,"https://maps.google.com/?q=-25.6329047446,-56.4830245509"
COV01,1006,1004,871,700,"https://maps.google.com/?q=-25.6232647767,-56.4762152499"
COV01,1284,1278,1112,899,"https://maps.google.com/?q=-25.5897385476,-56.4614634058"
COV01,,,,925,"https://maps.google.com/?q=-25.5876541892,-56.4628502188"
COV01,,,,949,"https://maps.google.com/?q=-25.578516157,-56.463322167"
COV01,1510,1501,1307,1063,"https://maps.google.com/?q=-25.5687303632,-56.4547974942"
COV01,1380,1380,1195,985,"https://maps.google.com/?q=-25.5623511663,-56.4525314451"
COV01,1377,1376,1192,983,"https://maps.google.com/?q=-25.5621700491,-56.4524670554"
COV01,1374,1374,1190,982,"https://maps.google.com/?q=-25.5620324636,-56.4524181063"
COV01,1371,1371,1188,980,"https://maps.google.com/?q=-25.5619771944,-56.4525826179"
COV01,,,,958,"https://maps.google.com/?q=-25.5598810208,-56.4516539094"
COV01,,,,882,"https://maps.google.com/?q=-25.5523573142,-56.4489821031"
COV01,,,,864,"https://maps.google.com/?q=-25.5503354728,-56.4482611694"
COV01,,,,807,"https://maps.google.com/?q=-25.5434724,-56.4458083214"
COV01,,,,776,"https://maps.google.com/?q=-25.539404082,-56.4443533981"
COV01,,,,861,"https://maps.google.com/?q=-25.550442067,-56.4480386511"
COV01,1358,1359,1176,972,"https://maps.google.com/?q=-25.5618035603,-56.4535675553"
COV01,,,,983,"https://maps.google.com/?q=-25.5622923938,-56.4526980034"
COV01,1509,1500,1306,1063,"https://maps.google.com/?q=-25.5687478798,-56.4547422651"
COV01,1698,1685,1471,1201,"https://maps.google.com/?q=-25.5595920811,-56.4649639574"
COV01,,,,1116,"https://maps.google.com/?q=-25.560820378,-56.469132262"
COV01,,,,968,"https://maps.google.com/?q=-25.5712961014,-56.4727596835"
COV01,1690,1677,1463,1196,"https://maps.google.com/?q=-25.5598944735,-56.4651052737"
COV01,1732,1720,1500,1231,"https://maps.google.com/?q=-25.5564462306,-56.4669960342"
COV01,,,,1225,"https://maps.google.com/?q=-25.5564038546,-56.4674228889"
COV01,,,,903,"https://maps.google.com/?q=-25.5649242417,-56.481659443"
COV01,,,,779,"https://maps.google.com/?q=-25.5629368507,-56.491299351"
COV01,,,,775,"https://maps.google.com/?q=-25.5627859329,-56.4917622452"
COV01,,,,669,"https://maps.google.com/?q=-25.5645833437,-56.5021654951"
COV01,1855,1838,1606,1317,"https://maps.google.com/?q=-25.5517952144,-56.4640965373"
COV01,1872,1853,1621,1327,"https://maps.google.com/?q=-25.5517146504,-56.4647118956"
COV01,,,,1297,"https://maps.google.com/?q=-25.5513311282,-56.4624059561"
COV01,,,,1295,"https://maps.google.com/?q=-25.5494551878,-56.4603628022"
COV01,,,,1586,"https://maps.google.com/?q=-25.5375468854,-56.4603572062"
COV01,2261,2251,1958,1675,"https://maps.google.com/?q=-25.5268314472,-56.4473450269"
COV01,1995,2000,1727,1495,"https://maps.google.com/?q=-25.5288159002,-56.4406117627"
COV01,,,,1469,"https://maps.google.com/?q=-25.5278340751,-56.4402647973"
COV01,,,,1182,"https://maps.google.com/?q=-25.5140777204,-56.4352698524"
COV01,,,,1038,"https://maps.google.com/?q=-25.5043844286,-56.431785363"
COV01,,,,942,"https://maps.google.com/?q=-25.4968091107,-56.4304228882"
COV01,,,,1461,"https://maps.google.com/?q=-25.5277253853,-56.4406113511"
COV01,,,,1490,"https://maps.google.com/?q=-25.5290095698,-56.4406798897"
COV01,,,,1472,"https://maps.google.com/?q=-25.5296967095,-56.4409209549"
COV01,,,,1469,"https://maps.google.com/?q=-25.529772798,-56.4408491148"
COV01,,,,1343,"https://maps.google.com/?q=-25.5351454617,-56.4428305267"
COV01,,,,1278,"https://maps.google.com/?q=-25.5383344352,-56.4439708848"
COV01,1568,1592,1358,1199,"https://maps.google.com/?q=-25.5334019499,-56.4254741317"
COV01,,,,1128,"https://maps.google.com/?q=-25.537706443,-56.427066376"
COV01,,,,1113,"https://maps.google.com/?q=-25.5387179654,-56.427439084"
COV01,,,,1023,"https://maps.google.com/?q=-25.5452292855,-56.429769854"
COV01,,,,980,"https://maps.google.com/?q=-25.5487222402,-56.431028155"
COV01,,,,970,"https://maps.google.com/?q=-25.5484006156,-56.4319356949"
COV01,,,,848,"https://maps.google.com/?q=-25.5520580308,-56.440425027"
COV01,,,,778,"https://maps.google.com/?q=-25.5595735711,-56.4409647513"
COV01,,,,889,"https://maps.google.com/?q=-25.5566148175,-56.4283289637"
COV01,,,,857,"https://maps.google.com/?q=-25.5592893565,-56.4256166895"
COV01,,,,995,"https://maps.google.com/?q=-25.5458754547,-56.4272358633"
COV01,,,,1124,"https://maps.google.com/?q=-25.5376244007,-56.4273936244"
COV01,1546,1570,1339,1184,"https://maps.google.com/?q=-25.5336870055,-56.4244725759"
COV01,1364,1392,1181,1054,"https://maps.google.com/?q=-25.5351673105,-56.414741524"
COV01,948,980,821,750,"https://maps.google.com/?q=-25.5372822509,-56.3799708814"
COV01,,,,1039,"https://maps.google.com/?q=-25.5363474147,-56.4147485711"
COV01,,,,1121,"https://maps.google.com/?q=-25.5337621453,-56.4209324958"
COV01,1508,1533,1306,1156,"https://maps.google.com/?q=-25.5308501089,-56.424569027"
COV01,1238,1268,1072,963,"https://maps.google.com/?q=-25.516570612,-56.4193879129"
COV01,1099,1130,952,861,"https://maps.google.com/?q=-25.5170360628,-56.4095895375"
COV01,,,,2061,"https://maps.google.com/?q=-25.5204798416,-56.4541837512"
COV01,2658,2627,2302,1968,"https://maps.google.com/?q=-25.5204666061,-56.4511001511"
COV01,2929,2879,2536,2167,"https://maps.google.com/?q=-25.5171608433,-56.45336123"
COV01,,,,2026,"https://maps.google.com/?q=-25.5180504193,-56.4507395465"
COV01,,,,2772,"https://maps.google.com/?q=-25.5061257965,-56.4559901063"
COV01,,,,2298,"https://maps.google.com/?q=-25.5092401494,-56.4618660306"
COV01,,,,2267,"https://maps.google.com/?q=-25.5094539774,-56.4624004404"
COV01,,,,1994,"https://maps.google.com/?q=-25.5101180561,-56.4654943819"
COV01,,,,1696,"https://maps.google.com/?q=-25.5063759349,-56.4729119249"
